city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,city_ascii_lower
Fontoura Xavier,Fontoura Xavier,-28.9828,-52.3458,Brazil,BR,BRA,Rio Grande do Sul,,10241.0,1076928068,fontoura xavier
Pires Ferreira,Pires Ferreira,-4.2469,-40.645,Brazil,BR,BRA,Ceará,,10216.0,1076964579,pires ferreira
Três Cachoeiras,Tres Cachoeiras,-29.4558,-49.9239,Brazil,BR,BRA,Rio Grande do Sul,,10217.0,1076760504,tres cachoeiras
Francisco Badaró,Francisco Badaro,-16.9928,-42.3519,Brazil,BR,BRA,Minas Gerais,,10248.0,1076185124,francisco badaro
Itapé,Itape,-14.8978,-39.4208,Brazil,BR,BRA,Bahia,,10228.0,1076267956,itape
Martinópole,Martinopole,-3.2258,-40.6969,Brazil,BR,BRA,Ceará,,10214.0,1076944697,martinopole
Mucugê,Mucuge,-13.005,-41.3708,Brazil,BR,BRA,Bahia,,10244.0,1076156452,mucuge
Ronda Alta,Ronda Alta,-27.7669,-52.8019,Brazil,BR,BRA,Rio Grande do Sul,,10221.0,1076110124,ronda alta
Senhora dos Remédios,Senhora Dos Remedios,-21.0278,-43.5828,Brazil,BR,BRA,Minas Gerais,,10196.0,1076268032,senhora dos remedios
Caracol,Caracol,-9.2789,-43.33,Brazil,BR,BRA,Piauí,,10212.0,1076578304,caracol
Pôrto Xavier,Porto Xavier,-27.9058,-55.1378,Brazil,BR,BRA,Rio Grande do Sul,,10194.0,1076184163,porto xavier
Redentora,Redentora,-27.6639,-53.6378,Brazil,BR,BRA,Rio Grande do Sul,,10222.0,1076814918,redentora
Mariluz,Mariluz,-24.0019,-53.1458,Brazil,BR,BRA,Paraná,,10224.0,1076480986,mariluz
Cumaru,Cumaru,-8.0058,-35.6969,Brazil,BR,BRA,Pernambuco,,10192.0,1076365965,cumaru
Lagoa da Confusão,Lagoa Da Confusao,-10.7939,-49.6239,Brazil,BR,BRA,Tocantins,,10210.0,1076932290,lagoa da confusao
